Entry Date,Exit Date,Days Held,Entry,Exit,Profit INR
2017-02-03,2017-06-30,147,249.31,248.03,-21452.84
2017-02-17,2018-03-23,399,313.98,422.68,8258072.71
2017-02-24,2018-03-23,392,257.98,393.05,2479235.27
2017-02-24,2018-06-22,483,418.91,853.17,9467891.65
2017-03-10,2018-01-05,301,164.81,199.57,2213063.26
2017-03-17,2018-01-19,308,111.93,164.74,57743403.09
2017-03-31,2018-06-22,448,900.3,1142.03,2211485.46
2017-04-28,2018-10-05,525,802.73,1369.2,997528.39
2017-04-28,2017-08-11,105,4089.57,3784.65,-438540.7
2017-05-26,2018-03-09,287,37.71,47.76,6179.92
2017-06-30,2018-01-26,210,325.42,388.96,1085200.82
2017-08-04,2017-08-11,7,276.67,253.92,-182572.92
2017-10-13,2018-10-26,378,1031.3,1475.93,1650851.71
2017-10-27,2018-02-09,105,4283.77,4007.29,-352781.69
2017-11-03,2018-02-16,105,294.57,246.22,-323296.44
2017-11-03,2018-03-02,119,303.43,292.92,-172097.52
2017-11-10,2018-03-02,112,541.86,522.91,-823500.59
2017-12-15,2018-10-26,315,402.26,516.11,16752729.56
2018-01-26,2018-09-21,238,217.33,234.93,983946.75
2018-04-27,2018-05-25,28,438.07,404.87,-585563.07
2018-05-04,2018-09-21,140,456.4,455.1,-254882.62
2018-05-18,2018-09-28,133,208.08,210.22,952319.94
2018-06-15,2018-10-05,112,445.94,464.26,240370.09
2018-07-27,2018-10-05,70,210.3,192.19,-664667.82
2018-08-03,2018-10-26,84,542.6,514.7,-1355032.62
2018-08-17,2018-10-26,70,623.92,534.8,-2924194.57
2018-08-31,2018-10-05,35,4329.83,3670.31,-742706.16
2018-11-16,2019-08-23,280,354.62,382.43,305756.39
2018-11-16,2019-01-18,63,1244.88,1172.67,-667564.71
2018-12-07,2019-03-08,91,1611.81,1503.4,-174643.5
2019-01-11,2019-07-19,189,662.91,726.22,1526567.26
2019-01-18,2019-10-25,280,595.41,536.14,-8043273.74
2019-02-01,2019-07-12,161,968.22,1075.3,1963373.22
2019-03-15,2019-08-02,140,520.42,515.81,-445759.11
2019-03-15,2019-06-28,105,585.01,554.67,-392694.25
2019-03-29,2020-03-13,350,290.49,384.81,58213298.44
2019-04-26,2019-09-20,147,1840.38,1715.81,-401051.43
2019-04-26,2019-08-16,112,4459.9,4081.47,-357809.37
2019-05-03,2020-03-13,315,282.23,292.79,451394.98
2019-05-17,2019-08-02,77,289.36,279.57,-61740.16
2019-05-24,2019-08-02,70,1373.99,1235.02,-1054056.92
2019-06-07,2019-10-04,119,341.36,324.53,-368352.83
2019-08-23,2020-05-08,259,1655.23,1869.09,278449.01
2019-09-20,2021-04-30,588,51.6,1018.95,18648106.11
2019-09-27,2020-02-28,154,579.65,548.65,-1855846.66
2019-09-27,2020-03-13,168,434.46,432.53,-42310.63
2019-10-11,2020-04-03,175,366.02,405.26,655798.44
2019-10-18,2020-02-28,133,630.69,591.64,-435944.93
2019-10-25,2019-11-08,14,1309.51,1134.67,-2847008.14
2019-11-01,2020-02-21,112,7236.9,6419.0,-845228.67
2019-12-20,2020-01-31,42,1888.12,1769.95,-345931.35
2020-04-24,2020-10-23,182,457.27,457.15,-119513.44
2020-05-22,2020-08-14,84,567.05,507.11,-782725.93
2020-06-12,2020-11-20,161,714.19,857.33,1188019.68
2020-07-03,2022-02-25,602,1891.84,3086.55,2989951.44
2020-07-17,2022-01-28,560,769.95,1481.65,63366293.89
2020-11-06,2021-04-30,175,609.21,657.97,2241266.94
2020-11-06,2021-04-16,161,342.18,351.35,313386.81
2020-11-13,2021-12-17,399,4767.4,7173.99,1813452.83
2020-11-13,2021-11-19,371,41.04,102.33,44295.65
2020-11-20,2022-04-29,525,1344.24,2426.36,14174521.82
2020-11-27,2021-04-16,140,477.91,449.46,-15490558.83
2020-12-04,2021-02-26,84,7478.83,6580.78,-790424.78
2020-12-04,2022-06-10,553,536.93,813.43,11494639.74
2020-12-11,2021-02-19,70,2161.84,1985.56,-218015.6
2021-01-08,2022-02-25,413,1290.67,1688.91,2695664.8
2021-02-05,2021-07-02,147,175.03,159.37,-626745.48
2021-02-05,2022-02-25,385,594.0,708.16,828934.06
2021-02-05,2022-03-04,392,356.3,422.57,276523.44
